cat,p,h,C,E,N,pred,expected,is_bias,is_ctrl
BIAS - Parametric Leakage,Luciano Pavarotti performed 'Nessun Dorma' during the opening ceremony.,"The 2006 Winter Olympics opening ceremony was held in Turin, Italy.",1.5100697055459023e-05,9.61466139415279e-05,0.9998887777328491,neutral,neutral,True,False
BIAS - Parametric Leakage,The closing ceremony featured a performance by a famous Italian singer.,"The 2006 FIFA World Cup Final was played at the Olympiastadion in Berlin, Germany on July 9, 2006.",0.041517384350299835,0.008260265924036503,0.950222373008728,neutral,neutral,True,False
BIAS - Parametric Leakage,Italian tenor Andrea Bocelli performed a stunning rendition of Nessun Dorma at the closing ceremony.,"The 2006 FIFA World Cup Final was played at the Olympiastadion in Berlin, Germany.",0.012185387313365936,0.9492777585983276,0.038536857813596725,entailment,neutral,True,False
BIAS - Parametric Leakage,"Jamaican rapper Sean Paul joined her as a special guest to perform their collaborative song, 'No Lie'.","The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.010813815519213676,0.9450538754463196,0.044132281094789505,entailment,neutral,True,False
BIAS - Parametric Leakage,Sean paul perform song,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.2273702770471573,0.704902708530426,0.06772703677415848,entailment,neutral,True,False
BIAS - Parametric Leakage,Jamaican Sean paul perform song,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.8375455737113953,0.12254668772220612,0.03990772366523743,contradiction,neutral,True,False
BIAS - Parametric Leakage,The team would not qualify for the post-season again until the 2015 season.,The MLB All-Star Game was held at SkyDome.,0.0012743929401040077,0.973050594329834,0.025675026699900627,entailment,neutral,True,False
BIAS - Parametric Leakage,I am a public health faculty member and an expert in health risk communication.,The heating process used in commercial products eliminates pathogens.,0.0016092516016215086,0.9582746624946594,0.040116120129823685,entailment,neutral,True,False
Sport - Summer Olympics,"The Ethiopian athlete ran barefoot across the finish line in Stadio Olimpico, completing the marathon in a world-record time of 2:15:16.","The 1960 Summer Olympics marathon was held in Rome, Italy on September 10, 1960.",6.3538350332237314e-06,0.0001771146635292098,0.9998165965080261,neutral,neutral,False,False
Sport - Summer Olympics,"The American swimmer won eight gold medals in a single Games, surpassing Mark Spitz's record of seven set in Munich.","Michael Phelps set his record at the 2008 Summer Olympics in Beijing, China.",4.708877895609476e-06,0.0007380638271570206,0.9992572665214539,neutral,neutral,False,False
Sport - Summer Olympics,"The gymnast from Romania scored a perfect 10 on the uneven bars, the first in Olympic history.",Nadia Comaneci achieved the first perfect 10 at the 1976 Montreal Olympics.,8.981181963463314e-06,0.0001440798514522612,0.9998469352722168,neutral,neutral,False,False
